[2023-03-23 15:56:58]	core	INFO	login	{"ID":1,"user_login":"atmr_admin"}	{"uid":"6dde70b","current_user_id":0,"current_user_login":false}
[2023-03-23 15:57:43]	core	INFO	login	{"ID":1,"user_login":"atmr_admin"}	{"uid":"21057ad","current_user_id":0,"current_user_login":false}
[2023-03-23 15:58:26]	core	INFO	register_user	{"ID":5,"user_login":"admin"}	{"uid":"9aeb13a","current_user_id":0,"current_user_login":false}
[2023-03-23 15:58:32]	core	INFO	login	{"ID":5,"user_login":"admin"}	{"uid":"0de9180","current_user_id":0,"current_user_login":false}
[2023-03-23 15:58:36]	core	INFO	login	{"ID":5,"user_login":"admin"}	{"uid":"66c9d89","current_user_id":0,"current_user_login":false}
[2023-03-23 15:58:51]	core	INFO	login	{"ID":5,"user_login":"admin"}	{"uid":"45028b8","current_user_id":0,"current_user_login":false}
[2023-03-23 15:59:26]	core	INFO	login	{"ID":5,"user_login":"admin"}	{"uid":"dee2074","current_user_id":0,"current_user_login":false}
[2023-03-23 18:50:57]	core	INFO	transition_post_status	{"post_type":"fair","ID":333,"new_status":"auto-draft","old_status":"new","post_author":5}	{"uid":"4edeacc","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:51:00]	core	INFO	profile_update	{"ID":5,"user_login":"admin"}	{"uid":"3afb450","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:51:01]	core	INFO	profile_update	{"ID":5,"user_login":"admin"}	{"uid":"cfa3a58","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:51:27]	core	INFO	transition_post_status	{"post_type":"fair","ID":333,"new_status":"publish","old_status":"auto-draft","post_author":5}	{"uid":"722dd01","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:51:28]	core	INFO	transition_post_status	{"post_type":"fair","ID":333,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"2e5cf81","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:53:30]	core	INFO	transition_post_status	{"post_type":"fair","ID":333,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"3d8e38a","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:53:31]	core	INFO	transition_post_status	{"post_type":"fair","ID":333,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"8480738","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:53:31]	core	INFO	transition_post_status	{"post_type":"fair__schedule","ID":334,"new_status":"publish","old_status":"new","post_author":5}	{"uid":"8480738","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:53:31]	core	INFO	transition_post_status	{"post_type":"fair__schedule","ID":335,"new_status":"publish","old_status":"new","post_author":5}	{"uid":"8480738","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:54:07]	core	INFO	transition_post_status	{"post_type":"fair","ID":333,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"6de0c8c","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:54:07]	core	INFO	transition_post_status	{"post_type":"fair","ID":333,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"19c4933","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:54:07]	core	INFO	transition_post_status	{"post_type":"fair__schedule","ID":334,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"19c4933","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:54:07]	core	INFO	transition_post_status	{"post_type":"fair__schedule","ID":335,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"19c4933","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:54:07]	core	INFO	transition_post_status	{"post_type":"fair__schedule","ID":336,"new_status":"publish","old_status":"new","post_author":5}	{"uid":"19c4933","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:54:15]	core	INFO	transition_post_status	{"post_type":"fair","ID":333,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"721dd71","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:54:15]	core	INFO	transition_post_status	{"post_type":"fair","ID":333,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"6fb54cc","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:54:15]	core	INFO	transition_post_status	{"post_type":"fair__schedule","ID":334,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"6fb54cc","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:54:15]	core	INFO	transition_post_status	{"post_type":"fair__schedule","ID":335,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"6fb54cc","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:54:15]	core	INFO	transition_post_status	{"post_type":"fair__schedule","ID":336,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"6fb54cc","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:55:45]	core	INFO	transition_post_status	{"post_type":"fair","ID":333,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"20e1892","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:55:45]	core	INFO	transition_post_status	{"post_type":"fair","ID":333,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"cf967c8","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:55:45]	core	INFO	transition_post_status	{"post_type":"fair__schedule","ID":334,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"cf967c8","current_user_id":5,"current_user_login":"admin"}
[2023-03-23 18:55:45]	core	INFO	transition_post_status	{"post_type":"fair__schedule","ID":335,"new_status":"publish","old_status":"publish","post_author":5}	{"uid":"cf967c8","current_user_id":5,"current_user_login":"admin"}
